name,secondary_name,cell_type,annot,adata_name
CD163,CD163,Macrophage marker,Macrophage marker,CD163
CR2,CD21,Dendritic and B cells,Dendritic and B cells,CR2
PCNA,PCNA,Cell proliferation marker,Cell proliferation marker,PCNA
KRT5,PanCK,Structural marker,Structural marker,KRT5
CD68,CD68,Macrophages,Macrophages,CD68
CEACAM8,CD66b,Neutrophils,Neutrophils,CEACAM8
PTPRC_1,CD45RA,Functional T cells,Functional T cells-RA,PTPRC
HLA-DRA,HLA-DR,Myeloid cells,Myeloid cells,HLA-DRA
PAX5,PAX5,B cells,PAX5 B cells,PAX5
SDC1,CD138,Plasma cells,Plasma cells,SDC1
PTPRC_2,CD45RO,Functional T cells,Functional T cells-RO,PTPRC
CD8A,CD8A,T cells,CD8A T cells,CD8A
BCL2,BCL2,Apoptotic marker,Apoptotic marker,BCL2
CD19,CD19,B cells,CD19 B cells,CD19
PDCD1,PD1,Checkpoint marker,Checkpoint marker,PDCD1
ACTA2,alphaSMA,Structural marker,Structural marker,ACTA2
FCGR3A,CD16,Granulocytes/NK cells,Granulocytes/NK cells,FCGR3A
ITGAX,CD11c,Dendritic cells,Dendritic cells,ITGAX
CXCR5,CXCR5,T cells,T cells,CXCR5
EPCAM,EPCAM,Epithelial cells,Epithelial cells,EPCAM
MS4A1,CD20,B cells,CD20 B cells,MS4A1
CD3E,CD3E,T cells,CD3E T cells,CD3E
CD14,CD14,Myeloid cells,Myeloid cells,CD14
CD40,CD40,T and B lymphocytes,T and B lymphocytes,CD40
PECAM1,CD31,Endothelial cells,Endothelial cells,PECAM1
CD4,CD4,T cells,CD4 T cells,CD4
ITGAM,CD11b,Myeloid cells,Myeloid cells,ITGAM
CD27,CD27,Functional B cells,CD27 Functional B cells,CD27
CD274,PDL1,Checkpoint marker,Checkpoint marker,CD274
VIM,Vimentin,Mesenchymal cells,Mesenchymal cells,VIM
CCR7,CD197,Functional B cells,Functional B cells,CCR7